Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
04:30 - 05:00,3086.25,13.68,3072.57,3088.59,3070.62,1799,N.A.
05:00 - 05:30,3087.02,0.77,3086.23,3087.95,3078.73,1798,N.A.
05:30 - 06:00,3090.55,3.53,3086.87,3097.89,3086.87,1797,N.A.
06:00 - 06:30,3093.68,3.13,3090.43,3098.94,3085.59,1796,N.A.
06:30 - 07:00,3100.72,7.04,3094,3100.88,3089.6,1800,N.A.
07:00 - 07:30,3103.41,2.69,3100.65,3105.42,3097.85,1798,N.A.
07:30 - 08:00,3110.83,7.42,3103.4,3114.07,3103.33,1800,N.A.
08:00 - 08:30,3108.82,-2.01,3110.96,3111.92,3106.03,1799,N.A.
08:30 - 09:00,3102.57,-6.25,3108.74,3109.84,3100.7,1799,N.A.
09:00 - 09:30,3101.34,-1.23,3102.59,3108.21,3099.83,1799,N.A.
09:30 - 10:00,3100.26,-1.08,3101.15,3103.26,3092.7,1799,N.A.
10:00 - 10:30,3108.04,7.78,3100.48,3109.45,3097.37,1799,N.A.
10:30 - 11:00,3115.13,7.09,3108.22,3115.62,3108.22,600,N.A.
29JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3127.09,11.96,3122.94,3129.72,3121.04,1796,N.A.
02:30 - 03:00,3123.97,-3.12,3127.2,3127.71,3120.6,1799,N.A.
03:00 - 03:30,3129.9,5.93,3123.95,3129.9,3115.64,1797,N.A.
03:30 - 04:00,3130.99,1.09,3129.99,3137.53,3129.99,1800,N.A.
04:00 - 04:30,3128.64,-2.35,3130.74,3132.53,3120.77,1800,N.A.
04:30 - 05:00,3131.61,2.97,3128.71,3134.41,3127.09,1798,N.A.
05:00 - 05:30,3134.53,2.92,3131.59,3137.31,3130.15,1800,N.A.
05:30 - 06:00,3137.24,2.71,3134.37,3138.24,3129.7,1800,N.A.
06:00 - 06:30,3139.76,2.52,3137.12,3139.84,3134.95,1800,N.A.
