Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
09:30 - 10:00,52620.28,-79.43,52699.71,52700.23,52592.29,3528,N.A.
10:00 - 10:30,52638.53,18.25,52638.53,52638.53,52638.53,1,N.A.
21JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,52638.53,0,52638.53,52638.53,52638.53,1,N.A.
02:00 - 02:30,52053.62,-584.91,52633.74,52633.74,51877.52,3580,N.A.
02:30 - 03:00,51962.04,-91.58,52055.24,52076.05,51947.72,3184,N.A.
03:00 - 03:30,51853.49,-108.55,51986.83,52002.21,51707.44,5876,N.A.
03:30 - 04:00,51691.11,-162.38,51850.87,51855.12,51654.17,4783,N.A.
04:00 - 04:30,51640.96,-50.15,51691.11,51734.29,51584.88,5780,N.A.
04:30 - 05:00,51542.61,-98.35,51641.83,51675.47,51470,4588,N.A.
05:00 - 05:30,51512.43,-30.18,51542.79,51570.12,51481.72,4468,N.A.
05:30 - 06:00,51530.48,18.05,51512.43,51544.16,51473.28,3908,N.A.
06:00 - 06:30,51518.06,-12.42,51530.63,51554.14,51493.26,3733,N.A.
06:30 - 07:00,51647.11,129.05,51518.31,51682.74,51498.14,4652,N.A.
07:00 - 07:30,51746.93,99.82,51646.66,51753.75,51618.44,4226,N.A.
07:30 - 08:00,51785.76,38.83,51747.55,51807.46,51722.7,3478,N.A.
08:00 - 08:30,51769.36,-16.4,51784.69,51799.96,51754.59,3885,N.A.
08:30 - 09:00,51709.3,-60.06,51769.68,51774.11,51698.79,4626,N.A.
09:00 - 09:30,51786.85,77.55,51709.47,51800.5,51708.57,4707,N.A.
09:30 - 10:00,51839.53,52.68,51786.91,51859.36,51764.54,4894,N.A.
10:00 - 10:30,51835.36,-4.17,51835.36,51835.36,51835.36,1,N.A.
22JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51835.36,0,51835.36,51835.36,51835.36,1,N.A.
02:00 - 02:30,52188.46,353.1,51835.75,52206.99,51821.97,3856,N.A.
02:30 - 03:00,52240.87,52.41,52188.24,52244.35,52125.86,3479,N.A.
03:00 - 03:30,52162.88,-77.99,52239.66,52258.62,52083.46,5950,N.A.
03:30 - 04:00,51937.93,-224.95,52164.19,52174.36,51915.6,5847,N.A.
04:00 - 04:30,51842.71,-95.22,51939.57,51990.2,51816.7,6168,N.A.
04:30 - 05:00,51954.74,112.03,51842.8,51954.74,51832.18,3623,N.A.
05:00 - 05:30,51975.33,20.59,51949.68,51989.3,51929.87,3366,N.A.
05:30 - 06:00,52000.93,25.6,51975.29,52008.27,51951.24,4118,N.A.
06:00 - 06:30,51826.39,-174.54,52000.5,52000.93,51796.65,3634,N.A.
06:30 - 07:00,51862.12,35.73,51826.73,51893.99,51822.04,3240,N.A.
07:00 - 07:30,51857.55,-4.57,51861.72,51868.01,51800.74,3438,N.A.
07:30 - 08:00,51812.71,-44.84,51857.25,51863.35,51774.11,3414,N.A.
08:00 - 08:30,51871.84,59.13,51813.22,51873.1,51807.18,4223,N.A.
08:30 - 09:00,51877.49,5.65,51872.28,51885.34,51840.72,3870,N.A.
09:00 - 09:30,51885.05,7.56,51877.47,51932.92,51847.94,5039,N.A.
09:30 - 10:00,51773.17,-111.88,51884.87,51885.47,51773.17,4525,N.A.
10:00 - 10:30,51808.62,35.45,51808.62,51808.62,51808.62,1,N.A.
23JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51808.62,0,51808.62,51808.62,51808.62,1,N.A.
02:00 - 02:30,51366.83,-441.79,51811.35,51811.35,51263.03,2886,N.A.
02:30 - 03:00,51294.22,-72.61,51367.21,51469.44,51291.99,2645,N.A.
03:00 - 03:30,51184.53,-109.69,51293.21,51361.34,51114.14,3737,N.A.
03:30 - 04:00,51265.57,81.04,51186.12,51283.57,51145.85,2955,N.A.
04:00 - 04:30,51306.77,41.2,51265.6,51328.1,51262.1,2777,N.A.
04:30 - 05:00,51292.91,-13.86,51306.16,51334.29,51287.64,2356,N.A.
05:00 - 05:30,51311.09,18.18,51293.05,51323.86,51249.55,2518,N.A.
05:30 - 06:00,51319.21,8.12,51310.54,51351,51297.38,2011,N.A.
06:00 - 06:30,51259.66,-59.55,51319.09,51331.89,51252.88,2561,N.A.
06:30 - 07:00,51216.77,-42.89,51259.75,51292.94,51208.05,2741,N.A.
07:00 - 07:30,51109.67,-107.1,51216.82,51233.3,51098.36,3540,N.A.
07:30 - 08:00,51037.79,-71.88,51109.64,51115.82,51008.62,3843,N.A.
08:00 - 08:30,50936.63,-101.16,51037.7,51053.82,50927.81,3433,N.A.
08:30 - 09:00,50964.07,27.44,50936.45,51028.57,50908.33,4058,N.A.
09:00 - 09:30,50846.36,-117.71,50963.66,50978.65,50829.62,5438,N.A.
09:30 - 10:00,50840.3,-6.06,50846.41,50905.11,50779.49,4201,N.A.
10:00 - 10:30,50847.58,7.28,50847.58,50847.58,50847.58,1,N.A.
24JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,50847.58,0,50847.58,50847.58,50847.58,1,N.A.
02:00 - 02:30,51166,318.42,50847.58,51210.85,50847.58,2588,N.A.
02:30 - 03:00,51228.39,62.39,51164.69,51246.73,51142.84,2080,N.A.
03:00 - 03:30,51182.49,-45.9,51228.94,51264.22,51165.5,3286,N.A.
03:30 - 04:00,51245.9,63.41,51182.31,51268.17,51164.63,2920,N.A.
04:00 - 04:30,51221.62,-24.28,51253,51313.69,51211.76,2662,N.A.
04:30 - 05:00,51193.32,-28.3,51221.41,51254.56,51189.24,2296,N.A.
05:00 - 05:30,51158.96,-34.36,51193.3,51253.49,51158.53,2341,N.A.
05:30 - 06:00,51103.38,-55.58,51158.79,51168.94,51095.84,2317,N.A.
06:00 - 06:30,51103.71,0.33,51103.66,51119.93,51052.4,3002,N.A.
06:30 - 07:00,51103.29,-0.42,51103.73,51114.87,51075.76,1998,N.A.
07:00 - 07:30,51153.45,50.16,51103.65,51160.76,51103.65,2373,N.A.
07:30 - 08:00,51167.73,14.28,51154.11,51185,51126.83,2798,N.A.
08:00 - 08:30,51238.88,71.15,51167.76,51238.88,51160.62,2920,N.A.
08:30 - 09:00,51270.01,31.13,51238,51286.64,51235.84,4140,N.A.
09:00 - 09:30,51179.25,-90.76,51269.29,51283.29,51175.1,4293,N.A.
09:30 - 10:00,51153.73,-25.52,51179.46,51202.65,51138.95,3606,N.A.
10:00 - 10:30,51212.26,58.53,51212.26,51212.26,51212.26,1,N.A.
27JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51212.26,0,51212.26,51212.26,51212.26,1,N.A.
